type,words,latency,exec_time,exec_time_err,power,power_err,ii,lut,reg,bram,dsp,l2_req,l2_hit,l1_req,l1_hit
Global,0,0,86.08087,0.23173,4.36221,0.0046,142,2269,2808,1,0,440401920,426639360,0,0
L2,16,2,18.62165,0.01166,4.38792,0.00105,6,11089,13454,4,0,440401920,433520640,0,0
L2,32,1,19.39872,0.0073,4.42984,0.00364,4,17078,21645,4,0,440401920,433520640,0,0
L2,32,2,13.80298,0.00778,4.45439,0.0043,6,19667,22751,4,0,440401920,433520640,0,0
L2,32,3,14.95057,0.00848,4.44087,0.00137,7,18738,21613,4,0,440401920,433520640,0,0
L2,32,4,14.95214,0.0071,4.44155,0.00273,8,17699,21623,4,0,440401920,433520640,0,0
L2,32,5,15.99588,0.00705,4.44119,0.00306,9,17708,21627,4,0,440401920,433520640,0,0
L2,32,6,17.08586,0.00868,4.44196,0.00137,10,18238,21662,4,0,440401920,433520640,0,0
L2,32,7,18.11935,0.0044,4.44367,0.00377,11,18241,21666,4,0,440401920,433520640,0,0
L2,32,8,19.18485,0.00693,4.44553,0.00128,12,18242,21663,4,0,440401920,433520640,0,0
L2,32,9,20.1839,0.00687,4.44275,0.0018,13,19718,21638,4,0,440401920,433520640,0,0
L2,32,10,21.2899,0.00234,4.43522,0.00056,14,17729,21649,4,0,440401920,433520640,0,0
L2,32,11,22.3232,0.01109,4.42764,0.00044,15,17705,21642,4,0,440401920,433520640,0,0
L2,32,12,23.37482,0.00615,4.42746,0.00167,16,17190,21609,4,0,440401920,433520640,0,0
L2,32,13,24.56463,0.00682,4.42809,0.00158,17,17722,21696,4,0,440401920,433520640,0,0
L2,32,14,26.15823,0.00893,4.42702,0.00113,18,17733,21712,4,0,440401920,433520640,0,0
L2,32,15,26.59556,0.00877,4.42794,0.004,19,17734,21713,4,0,440401920,433520640,0,0
L2,64,2,11.47492,0.00772,4.59518,0.00063,6,34060,41439,4,0,440401920,436961280,0,0
L1,16,2,18.61997,0.011,4.39511,0.00053,6,11150,16111,4,0,401604608,387842048,440401920,38797312
L1,32,1,17.94261,0.00962,4.48583,0.00231,4,22263,26834,4,0,393216000,386334720,440401920,47185920
L1,32,2,13.79937,0.01018,4.50183,0.00138,6,23740,27972,4,0,393216000,386334720,440401920,47185920
L1,32,3,14.94967,0.00627,4.47441,0.00139,7,22853,26773,4,0,393216000,386334720,440401920,47185920
L1,32,4,14.94883,0.00369,4.47916,0.00244,8,22847,26777,4,0,393216000,386334720,440401920,47185920
L1,32,5,16.00034,0.00934,4.46637,0.00287,9,22853,26778,4,0,393216000,386334720,440401920,47185920
L1,32,6,17.07786,0.00414,4.46574,0.00174,10,22862,26781,4,0,393216000,386334720,440401920,47185920
L1,32,7,18.12211,0.00867,4.46036,0.00124,11,22858,26781,4,0,393216000,386334720,440401920,47185920
L1,32,8,19.17323,0.00871,4.4627,0.00183,12,22855,26782,4,0,393216000,386334720,440401920,47185920
L1,32,9,20.1827,0.00464,4.45978,0.00184,13,22844,26788,4,0,393216000,386334720,440401920,47185920
L1,32,10,21.29245,0.00364,4.45176,0.00144,14,22855,26793,4,0,393216000,386334720,440401920,47185920
L1,32,11,22.32568,0.00842,4.45595,0.00163,15,22851,26794,4,0,393216000,386334720,440401920,47185920
L1,32,12,23.37826,0.005,4.4543,0.00174,16,22850,26794,4,0,393216000,386334720,440401920,47185920
L1,32,13,24.56061,0.00542,4.4498,0.00109,17,22856,26858,4,0,393216000,386334720,440401920,47185920
L1,32,14,26.1724,0.00802,4.44394,0.0018,18,22869,26859,4,0,393216000,386334720,440401920,47185920
L1,32,15,26.59682,0.00846,4.44902,0.00331,19,22851,26859,4,0,393216000,386334720,440401920,47185920
L1,64,2,11.47291,0.00824,4.64913,0.00203,6,38206,51758,4,0,332021761,328581121,440401920,108380159

